species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id
acer_pseudoplatanus|cordate|nan|nan|deep|nan|lower|5|Asia, Europe|nan|5-20 yrs, >20 yrs|none|C3|no ramets|5, nan|nan|nan|some non-viable|2.75|1800|52|nan|-0.4|nan|nan|continuous|nan|nan|4|nan|cleistogamy not recorded|wind|nan|nan|nan|seed|0|polycarpic|100-500|transient|5|increasing, increasing|1000|nan|petiolate|6|nan|0.3|20-30|0.34|0, 0, 0|480|1|insect|naturalised|Mega- meso- and micro- phanerophyte|nan|nan|nan|nan|-4, 4, 4|No|6, 7, 7|mast|Continental|43|autotrophic|self-supporting|3000|nan|nan|no persistent seedbank recorded|autumn, spring, winter|nan|4.5|phanerophyte|nan|200|6, 6x, nan|panicle|5, 6, 6|21|15|none|nan|0|nan|nan|nan|2.4, 2.7, 4.0|3.64|nan|nan|nan|nan|none|monoecious|epigeal|cross and self|Little or no vegetative spread|nan|nan|2-3|nan|present|simple|8|length = width|nan|nan|nan|nan|nan|nan|none|nan|0.049|glabrous|nan|nan|glabrous|nan|No Data|green|spring|nan|nan|nan|nan|nan|nan|nan|400|4|nan|nan|32.2, 33.1, 48|height > width|absolute|10-100, 100-1000|2|1.1|nan|nan|glabrous|fertile|nan|nan|6.4|131|nan|nan|lobed and toothed|wings|10|2|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|aestival|deep, light, mid, none|1083|30.6, 96.4|nan|3.6|nan|nan|woody|nan|nan|nan|nan|3.73|nan|protandrous|nan|0.34|Temperate|free-draining|nan|nan|dominant|nan|European|950010050
acer_saccharinum|truncate|1959|nan|shallow|nan|nan|5|nan|nan|20|nan|nan|nan|nan|2|nan|nan|2.88|nan|52|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|water, wind|nan|nan|high|seed|nan|nan|100-500|nan|0|nan|nan|nan|petiolate|nan|nan|0.4|nan|nan|nan|nan|1-10|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|self supporting|nan|nan|nan|nan|winter|nan|nan|nan|nan|130|nan|panicle|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|cross and self|nan|nan|2|nan|nan|nan|simple|8|length > breadth|140|nan|nan|nan|nan|nan|nan|nan|25.2|glabrous|nan|nan|glabrous|nan|nan|green|nan|nan|nan|nan|nan|nan|4.5|nan|418.8|nan|nan|nan|nan|nan|nan|nan|2|3.337|nan|nan|glabrous|fertile|nan|nan|42.5�7.5|nan|nan|nan|lobed|wings|80|2|pointed|nan|nan|nan|7|nan|nan|nan|aestival|nan|nan|201, 254.8, 75.9|nan|nan|nan|nan|woody|nan|fibrous|3000|nan|3.6|nan|nan|nan|nan|nan|free draining|glabrous|nan|nan|nan|nan|920005387
orchis_anthropophora|cuneate|1690|none|shallow|<1|nan|0|Africa, Europe|nan|2-5 yrs, 5-20 yrs|none|C3|patch-forming|nan|nan|0.5-1.0|nan|nan|20|42|nan|-0.76|homomorphic|nan|intermittent|nan|nan|nan|nan|cleistogamy not recorded|wind|nan|decreases|permanently low|seed and vegetative|nan|facultatively polycarpic, polycarpic|<1|nan|6|declining|nan|nan|sheathing|7|nan|1.2|nan|nan|0|nan|100-1000|insect|native|Non-bulbous geophyte|8|indifferent|<45|resists|7|Yes|3|irregular|Not continental|nan|autotrophic|self-supporting|40|nan|nan|nan|summer|nan|1.99|geophyte|Dalington, Essex|0|8|spicate raceme|4|16|16|none|nan|nan|2-6, 6-12, 6-12|nan|nan|nan|1.19|50|nan|nan|nan|tubers|hermaphrodite|nan|normally cross|Little or no vegetative spread|Scarce|nan|nan|nan|nan|simple|1|>3 times as long as wide|0-10|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|resistant|glabrous|nan|No|green-yellow|nan|nan|nan|nan|1000-10000, >10000|nan|nan|50-55|nan|5|nan|nan|nan|height > width|none|1-10|0|nan|nan|nan|nan|infertile, very infertile|nan|nan|nan|nan|nan|nan|entire|nan|0|3|pointed|does not kill insects|nan|nan|7.4|nan|nan|nan|vernal|light, none|690|0.0009233|nan|3.6|nan|5, 6|non-woody|nan|adventitious|60|nan|nan|nan|homogamous|nan|nan|Mediterranean-Atlantic|free-draining|nan|nan|scattered|nan|Oceanic|2030250010
achillea_distans|narrowed|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|54|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|patch, polycarpic|nan|nan|5|nan|nan|nan|petiolate|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|autotrophic|self supporting|120|nan|nan|nan|nan|nan|nan|Chamaephyte|nan|nan|nan|capitulum|nan|nan|nan|none|nan|nan|nan|nan|nan|17.5|nan|nan|nan|nan|nan|stolons|nan|nan|nan|nan|nan|nan|nan|nan|nan|compound|5|length > breadth|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white, white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|fertile, infertile|nan|nan|1.5|nan|nan|nan|toothed|none|nan|2|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|nan|0.152, 0.396|nan|nan|nan|nan|non woody|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|free draining|nan|nan|nan|nan|nan|1690580220
achillea_ligustica|narrow|1906|nan|nan|nan|nan|0|Europe, N. Africa|nan|nan|nan|nan|patch|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|polycarpic|nan|nan|5|nan|nan|nan|petiolate|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|autotrophic|nan|80|nan|nan|nan|nan|nan|nan|Chamaephyte|N. Lincolnshire|nan|nan|capitulum|nan|nan|nan|nan|nan|nan|nan|nan|nan|6.5|nan|nan|nan|nan|nan|stolons|nan|nan|nan|nan|nan|nan|nan|nan|nan|compound|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|fertile, infertile|nan|nan|nan|nan|nan|nan|dentate|nan|nan|2|1-3 x as long as broad, pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|nan|0.2908|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|free draining|nan|nan|nan|nan|nan|1690580340
achillea_millefolium|parallel-sided|1538|absolute, none|deep|nan|both, both|0|Asia, Europe|nan|1-2 yrs|present, mechanism unknown|C3|diffuse ramets|5x, nan|4.7|nan|nan|nan|8|54|1716|0.29|nan|nan|nan|nan|nan|nan|0.48|nan|eaten by birds, eaten by mammals, wind|nan|nan|nan|seed and vegetative|103, 86.98|polycarpic|nan|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|nan|nan|nan|petiolate, sessile|8|partial|0.225, 0.275|nan|1.7|1, 1, 1|1213|10-100|insect|native|Chamaephyte|8|nan|<45|resists|7, 7, 8|No|4, 5, 5|nan|Not continental|2.1|autotrophic|self-supporting|45|nan|6|nan|summer|nan|4.51|chamaephyte|nan|nan|6, 6x, nan|capitulum|4, 5, 5|28|14.5|none|nan|0|0-2|nan|nan|14.4, 15.30|3.88|nan|1-5 yrs|none|160|rhizomes, stolons|gynomonoecious|epigeal|obligatory cross|Rhizome far creeping|Present|nan|nan|nan|present|compound|5|>3 times as long as wide|10-50|nan|nan|33|nan|nan|pseudometallophyte|nan|0.28|nan|nan|nan|soft hairs|nan|No|white, white|autumn, spring|nan|nan|nan|1000-10000|nan|nan|>65|16, 39.7|6|nan|nan|25.5, 30.2|height > width|partial|1-10|1|nan|nan|nan|nan|infertile|nan|nan|2.1|nan|nan|580|lobed and toothed|nan|0|2|pointed|does not kill insects|Australasia, North America|nan|nan|nan|0|nan|evergreen|none|1103|0.16, 0.2|nan|3.5|nan|nan|non-woody|nan|adventitious|60|4|nan|nan|nan|nan|1.96|Boreo-Temperate|nan|nan|salt-affected|frequent|nan|Eurasian|1690580240
achillea_ptarmica|parallel-sided|1597|none|nan|nan|both|0|Asia, Europe|nan|nan|nan|C3|patch-forming|5, 6|4.32|nan|nan|nan|20|18|113|-0.65|nan|nan|nan|nan|nan|3|nan|nan|carried by mammals, rainwash, wind|nan|nan|nan|seed and vegetative|130|nan|<1|long-term persistent, seedbank present, type uncertain, transient|5|nan|nan|nan|sessile|8|nan|nan|nan|nan|0, 0, 0|731|nan|insect|native|Hemicryptophyte|6.94|nan|<45|nan|7, 7, 8|No|2, 3, 4|nan|Not continental|1.8|autotrophic|self-supporting|60|nan|nan|nan|nan|4.92|4.71|hemicryptophyte|London|0|4, 4, 5|capitulum|7, 8, 8|21|14|none|nan|0|nan|nan|nan|5.8|4.31|nan|nan|nan|84|creeping stock|gynomonoecious|nan|nan|Rhizome shortly creeping|Present|nan|nan|nan|nan|simple|5|>3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|nan|glabrous|nan|No|white|spring|nan|nan|nan|nan|nan|4.86|>65|125|7|6.26|nan|25|height = width|nan|1-10|1|nan|nan|4.64|nan|fertile, infertile|nan|nan|1.8|nan|6.87|nan|toothed|nan|0|2|pointed|does not kill insects|North America|nan|6.32|nan|0|nan|aestival|light, none|1146|0.2, 0.31|nan|3.3|nan|nan|non-woody|nan|nan|nan|54|nan|nan|nan|nan|nan|Boreo-Temperate|nan|nan|nan|frequent|nan|Eurasian|1690580170
clinopodium_acinos|cuneate|nan|nan|nan|nan|nan|5|Asia, Europe|nan|nan|nan|C3|no ramets|6, 7|nan|nan|nan|nan|10|18|702|-1.59|nan|nan|nan|nan|nan|3|nan|nan|nan|nan|nan|nan|seed|nan|nan|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|nan|nan|nan|petiolate|9|nan|0.85|nan|nan|0, 0, 0|274|nan|insect|native|Therophyte|nan|nan|<45|nan|8, 9, 9|No|1, 1, 2|nan|Not continental|nan|autotrophic|self-supporting|20|nan|nan|nan|nan|nan|3.43|therophyte|nan|nan|5, 7, 8|whorl|2, 2, 2|27|16|none|nan|0|nan|nan|nan|nan|1.84|nan|nan|nan|270.5|none|hermaphrodite|nan|nan|Little or no vegetative spread|Present|nan|nan|nan|nan|simple|4|1-3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous|nan|nan|soft hairs|nan|No|violet|autumn|nan|nan|nan|nan|nan|nan|60-65|nan|5|nan|nan|nan|height < width|nan|0.1-1|1|nan|nan|nan|nan|very infertile|nan|nan|nan|nan|nan|370|crenate|mucilage|nan|2|pointed|does not kill insects|nan|nan|nan|nan|0|nan|nan|none|778|0.167, 0.167, 0.17, 0.26, 0.44|nan|3.6|nan|nan|non-woody|nan|nan|nan|15|nan|nan|nan|nan|nan|Temperate|nan|nan|nan|scattered|nan|European|1510260040
aconitum_napellus|cuneate|1821|nan|nan|nan|lower|5|Europe|nan|nan|none, present, mechanism unknown|C3|nan|nan|nan|nan|nan|nan|50|32|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|<1|nan|4|nan|nan|nan|petiolate|6|nan|2|nan|nan|0|nan|nan|insect|native|Non-bulbous geophyte|nan|nan|<45|nan|5|Yes|6|nan|Not continental|nan|autotrophic|self-supporting|100|nan|nan|nan|nan|nan|4.94|geophyte|Herefordshire|nan|7|raceme|7|16|16|none|nan|nan|nan|nan|nan|nan|3.17|56|nan|nan|nan|nan|hermaphrodite|nan|normally cross, obligatory cross|Rhizome shortly creeping|Scarce|nan|nan|nan|nan|compound|5|1-3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|nan|soft hairs|nan|No|blue|nan|nan|nan|nan|nan|nan|nan|50-55|71|5|nan|nan|nan|height > width|nan|nan|3|nan|nan|nan|nan|fertile, very fertile|nan|nan|4.5|nan|nan|nan|lobed|nan|nan|3|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|deep, light, mid|964|3.1, 3.62|nan|4|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|entirely protandrous|nan|nan|Temperate|nan|nan|nan|nan|nan|European|610110110
aconitum_lycoctonum_subsp_vulparia|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5.0, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.0, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|4.0, nan|nan|7.0, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|7.0, nan|nan|7.0, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|3.936|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920007135
aconitum_x_cammarum=a_napellus_x_a_variegatum|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|raceme|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|numerous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920002985
acorus_calamus|parallel-sided|1666|nan|nan|nan|nan|0|Asia|nan|nan|nan|C3|patch-forming|6, 6|nan|nan|nan|nan|nan|24, 36|nan|0.69|nan|nil, slight|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|vegetative|nan|nan|nan|transient|6|nan|nan|nan|sessile|7|nan|0.25|18|nan|0, 0, 1|nan|nan|none|naturalised|Perennial hydrophyte|nan|nan|nan|nan|8, 8, 8|No|7, 7, 7|nan|Not continental|4|autotrophic|self-supporting|100|nan|nan|nan|nan|nan|3.51|helophyte, hydrophyte|Surrey|0|7, 7, 7|spadix|10, 10, 10|nan|16|none|nan|nan|nan|nan|nan|1.3|2.53|nan|nan|nan|nan|rhizomes|hermaphrodite|nan|apomictic|Rhizome far creeping|nan|nan|nan|nan|nan|simple|6|>3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous|nan|nan|nan|emergent|No Data|green|nan|nan|nan|eutrophic, mesotrophic|nan|nan|5.2|nan|nan|5|nan|nan|21|height > width|nan|100-1000|0|nan|nan|nan|nan|fertile, very fertile|nan|nan|nan|nan|nan|nan|entire|nan|0|1|pointed|does not kill insects|Europe, North America|nan|7.2|nan|nan|nan|nan|none|770|3.72, 9.1|nan|3.6|nan|nan|non-woody|nan|adventitious|nan|nan|nan|nan|markedly protogynous|nan|nan|Mediterranean|nan|nan|nan|scattered|nan|Hyperoceanic|1950010010
acorus_gramineus|parallel|nan|nan|nan|nan|both|0|nan|nan|nan|nan|nan|patch|nan|nan|nan|nan|nan|8|nan|nan|nan|nan|slight|constant|nan|nan|nan|nan|nan|nan|nan|nan|high|nan|nan|nan|nan|nan|6|nan|nan|nan|0, sessile|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|autotrophic|self supporting|50|nan|nan|nan|nan|nan|nan|Helophyte, hydrophyte|nan|0|nan|spadix|nan|nan|nan|none|nan|nan|nan|nan|nan|0.8|nan|nan|nan|nan|nan|rhizome|hermaphrodite|nan|nan|nan|nan|nan|nan|nan|nan|simple|6|3x as long as broad|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|resistant|glabrous|nan|nan|0.25, yellow|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|18|nan|nan|100-1000|0|nan|nan|nan|glabrous|fertile|nan|nan|nan|nan|nan|nan|entire|nan|nan|1|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|non woody|nan|adventitious|nan|nan|nan|nan|nan|nan|nan|nan|poor|glabrous|nan|nan|nan|nan|920004517
acroptilon_repens|nan|nan|temperature|nan|nan|nan|0|nan|nan|nan|nan|nan|patch|nan|nan|nan|nan|nan|nan|26|nan|nan|nan|nan|nan|nan|0.5|nan|nan|nan|ballistic|nan|nan|nan|vegetative|nan|polycarpic|>1|nan|5|nan|nan|nan|nan|nan|nan|1.25|nan|nan|nan|2835|nan|insect|nan|nan|nan|nan|nan|wilts|nan|nan|nan|nan|nan|nan|autotrophic|self-supporting|100|nan|nan|nan|nan|nan|nan|hemicryptophyte|nan|nan|nan|capitulum|nan|nan|nan|nan|nan|nan|nan|nan|35|nan|nan|nan|2-3|alternating|nan|root buds|monoecious|nan|nan|nan|nan|nan|nan|nan|nan|simple|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|arachnoid-tomentose|nan|nan|arachnoid-tomentose|nan|nan|pink|nan|nan|nan|nan|100-500|nan|nan|nan|nan|nan|nan|nan|nan|ht > width|nan|nan|1|nan|nan|nan|nan|fertile, infertile|nan|nan|3|nan|nan|nan|lanceolate|pappus|nan|2|acute|does not kill insects|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|woody at base|nan|nan|nan|nan|nan|Armenia, Azerbaijan, Turkey, Russia, Ukraine|nan|0|nan|nan|free, slow draining|nan|salt affected|dominant|nan|nan|1691360010
actaea_spicata|rounded|1597|nan|nan|nan|lower|4|Asia, Europe|nan|nan|none|C3|nan|5, 5|nan|nan|nan|nan|30|16|nan|-0.44|nan|nan|nan|nan|nan|4|nan|nan|eaten by birds|nan|nan|nan|nan|0|nan|<1|transient|5|nan|nan|nan|petiolate|6|nan|0.5|nan|nan|0, 0, 0|450, 500|1-10|insect|native|Non-bulbous geophyte|nan|nan|<45|nan|3, 3, 3|No|6, 7, 7|nan|Not continental|10|autotrophic|self-supporting|65|nan|nan|nan|nan|nan|2.2|geophyte|Barnard Castle, Durham|nan|6, 6, 8|raceme|5, 5, 5|22|14|none|nan|0, 25|nan|nan|nan|nan|4.42|22|nan|none|nan|rhizomes|hermaphrodite|nan|cross or automatic self|Rhizome shortly creeping|Scarce|12|nan|nan|nan|compound|numerous|1-3 times as long as wide|10-50|nan|nan|nan|nan|nan|none|nan|nan|hairy|nan|nan|glabrous|nan|No|white|spring|nan|nan|nan|nan|nan|nan|>65|45|5|nan|nan|nan|height > width|nan|nan|1|nan|nan|nan|nan|fertile, very fertile|nan|3464|4|nan|nan|nan|toothed|nan|nan|1|pointed|does not kill insects|nan|nan|nan|nan|0|nan|nan|deep, light, mid, none|1054|6.6, 6.7|nan|2.5|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|protogynous|nan|nan|Boreal montane|free-draining|nan|nan|dominant|nan|Circumpolar|610080010
adiantum_capillus_veneris|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.54|nan|nan|nan|nan|nan|nan|nan|nan|nan|6|nan|nan|nan|nan|polycarpic|nan|nan|nan|nan|nan|nan|petiolate|nan|nan|nan|nan|nan|0|nan|nan|nan|native|Hemicryptophyte|nan|exposed|<45|nan|4|Yes|3|nan|Not continental|nan|autotrophic|creeping|nan|nan|nan|nan|nan|nan|nan|hemicryptophyte|nan|15|8|nan|7|nan|15|none|nan|0|6-12|nan|nan|nan|nan|nan|nan|nan|nan|rhizomes|nan|nan|nan|Little or no vegetative spread|Scarce|nan|nan|nan|nan|compound|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|nan|glabrous|nan|No|nan|nan|nan|nan|nan|nan|nan|nan|50-55|nan|nan|nan|nan|nan|height = width|nan|nan|nan|nan|nan|nan|nan|fertile|nan|nan|nan|nan|nan|nan|lobed|nan|3|nan|rounded|does not kill insects|nan|nan|nan|nan|nan|nan|aestival|light|1101|nan|nan|5.2|nan|nan|non-woody|nan|adventitious|30, 45|nan|nan|nan|nan|nan|nan|Mediterranean-Atlantic|free-draining|nan|salt-affected|scattered|nan|Oceanic|9006001
adonis_annua|parallel-sided|1548|nan|nan|nan|nan|5|Asia, Europe|nan|nan|nan|C3|no ramets|nan|nan|nan|some non-viable|nan|10|32|nan|-2.19|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|seed|nan|nan|<1|transient|6|declining|nan|nan|subsessile|7|nan|1|nan|nan|0|nan|nan|insect|naturalised|Therophyte|nan|nan|nan|nan|7|No|4|nan|Not continental|6|autotrophic|self-supporting|40|18.4|nan|nan|nan|nan|3.31|therophyte|nan|nan|7|solitary|4|15|16|none|nan|nan|nan|nan|nan|33.7|1.55|nan|nan|nan|nan|none|hermaphrodite|nan|nan|Little or no vegetative spread|nan|nan|nan|nan|nan|compound|numerous|1-3 times as long as wide|nan|nan|nan|nan|Vulnerable|nan|none|nan|nan|nan|nan|nan|glabrous|nan|No Data|red|spring|nan|nan|nan|nan|nan|nan|nan|nan|7|nan|nan|nan|height > width|nan|nan|numerous|nan|nan|nan|nan|fertile, infertile, very infertile|nan|nan|6|nan|nan|nan|entire|nan|0|numerous|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|745|8.515|4.8|3.8|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|homogamous|nan|nan|Mediterranean-Atlantic|nan|nan|nan|scattered|nan|Oceanic|610180070
